Rabbit - low ATP,,,,
time (s),A band width (micron),,time (s),Sarcomere length (micron)
,,,6.806188678,2.511914657
,,,6.843629185,2.611968988
,,,6.833661567,2.556383249
,,,6.855410179,2.628947607
,,,6.844114925,2.593058376
,,,6.841923255,2.578388325
,,,6.841828569,2.571511739
,,,6.836437767,2.541254759
,,,6.867698947,2.644097927
,,,6.87948212,2.656934222
,,,6.902841209,2.667554727
,,,6.91296064,2.679978426
,,,6.933817578,2.646499275
,,,6.937190211,2.633401015
,,,6.950529244,2.621612582
,,,6.941879072,2.612679569
,,,6.937606831,2.663657995
,,,7.001905082,2.637068528
,,,7.006698309,2.623926607
,,,7.010089578,2.612181835
,,,7.013920763,2.606582329
,,,7.046907546,2.654122462
,,,7.054096123,2.634317893
,,,7.067960991,2.617712211
,,,7.079379447,2.604060914
,,,7.082921132,2.596359137
,,,7.125944023,2.614146574
,,,7.139313716,2.604584844
,,,7.145520397,2.59088079
,,,7.190605869,2.613963198
,,,7.193281251,2.60183421
,,,7.210184454,2.590857868
,,,7.224945824,2.57915239
,,,7.236940367,2.563551569
,,,7.242274603,2.547476432
,,,7.286902553,2.579555261
,,,7.274443568,2.561426079
,,,7.335245444,2.602023407
,,,7.347606554,2.616693457
,,,7.327459011,2.582422589
,,,7.387914625,2.596725888
,,,7.379589453,2.611395939
,,,7.414733368,2.583365664
,,,7.457561797,2.574415186
,,,7.500434312,2.573253807
,,,7.518187345,2.562067893
,,,7.545380279,2.550079711
,,,7.586250005,2.537931076
,,,7.577698262,2.549048223
,,,7.602211471,2.523070008
,,,7.602062077,2.512220283
,,,7.611856314,2.501026729
,,,7.611731644,2.491972557
,,,7.656871087,2.518974619
,,,7.662376594,2.505954949
,,,7.688026639,2.493729907
,,,7.698970562,2.480020395
,,,7.724686335,2.466834814
,,,7.773322786,2.466834814
,,,7.801521552,2.449441913
,,,7.809911468,2.434782281
,,,7.809774173,2.424811231
,,,7.862189592,2.454776477
,,,7.844763885,2.437189086
,,,7.924645384,2.45858291
,,,7.914541312,2.447274746
,,,7.974408249,2.460111041
,,,7.994140856,2.448191624
,,,8.00891401,2.437341899
,,,8.043610546,2.428427806
,,,8.080303908,2.44411661
,,,8.073462654,2.428937183
,,,8.126878304,2.454915398
,,,8.148593009,2.466529188
,,,8.175251597,2.451859137
,,,8.200959535,2.44039816
,,,8.256742024,2.463663944
,,,8.247852567,2.4502546
,,,8.242757397,2.441467851
,,,8.265458241,2.484561125
,,,8.243203474,2.473864213
,,,8.2771832,2.503204315
,,,8.286921151,2.518027179
,,,8.305334463,2.53071066
,,,8.317107116,2.542782889
,,,8.323928732,2.556536062
,,,8.338331557,2.570398387
