Rabbit - high ATP,,,,
time (s),A band width (micron),,time (s),Sarcomere length (micron)
0.04373776,0.02031848,,,
0.043898947,0.0163109,,,
0.044009894,0.014230774,,,
0.044232312,0.014552017,,,
0.044452113,0.014863718,,,
0.044671915,0.013572386,,,
0.044891716,0.014039937,,,
0.045056566,0.013238421,,,
0.045166467,0.011858032,,,
0.045294684,0.010232736,,,
0.045477852,0.009408955,,,
0.045679336,0.009141783,,,
0.045774583,0.007280484,,,
0.045909604,0.005872106,,,
0.045963246,0.002635031,,,
0.045954088,0.004020985,,,
0.046137255,0.000636806,,,
0.046206859,-0.001643062,,,
0.046274631,-0.003660211,,,
0.04639369,-0.00529664,,,
0.046558541,-0.006772765,,,
0.046723392,-0.008302325,,,
0.046851609,-0.010005547,,,
0.04701646,-0.01192028,,,
0.047236261,-0.012476888,,,
0.047456062,-0.012699532,,,
0.047675863,-0.012922175,,,
0.047895664,-0.011942544,,,
0.048097149,-0.010780346,,,
0.048261999,-0.00930422,,,
0.048390217,-0.007600998,,,
0.048478137,-0.005891097,,,
0.048555068,-0.004227951,,,
0.048628335,-0.002725109,,,
0.048701602,-0.001222266,,,
0.048774869,0.00039932,,,
0.048985511,0.001309189,,,
0.049067937,0.00301909,,,
0.049177837,0.00455533,,,
0.049260263,0.006809594,,,
0.049423282,0.008643062,,,
0.049525856,0.009364426,,,
0.049709023,0.009925488,,,
0.049800607,0.011702182,,,
0.049855557,0.013372007,,,
0.049928824,0.015075229,,,
0.050002092,0.017045623,,,
0.050090012,0.019196358,,,
0.050111992,0.02031848,,,
0.002442868,0.005689655,,,
0.019818755,0.002816092,,,
0.019503546,0.000517241,,,
0.019424744,0.001954023,,,
0.022261623,0.003678161,,,
0.038888889,0.003678161,,,
0.039007092,0.002528736,,,
0.038967691,0.00137931,,,
0.039125296,0.00454023,,,
0.039243499,0.006551724,,,
0.039322301,0.004827586,,,
0.039401103,0.003103448,,,
